alpha,Iter_GRASP,Iter_ILS,n10m2_A,n10m2_B,n15m3_A,n15m3_B,n15m4_A,n15m4_B,n29m4_A,n29m4_B,n29m6_A,n29m6_B,n40m5_A,n40m5_B,n52m5_A,n52m5_B,n450m16_A,n500m10_A
0.900000,300,100,0.154875,0.160249,0.421184,0.308681,0.420025,0.717511,1.072612,1.195060,1.386942,0.758288,2.293528,1.303270,2.303200,3.361841,372.732868,603.855974
0.900000,500,100,0.213266,0.210893,0.409277,0.569294,0.340001,0.461479,0.727989,0.919667,0.697843,1.284359,2.553725,1.448481,2.918817,3.741255,359.840894,302.908426
1.000000,1024,17,0.112014,0.103975,0.279993,0.216004,0.167997,0.432948,0.685725,0.439060,0.596640,0.840481,0.770517,1.687390,1.247881,1.628522,206.775841,855.591303
1.000000,1024,17,0.118203,0.127122,0.266133,0.206363,0.201577,0.406146,0.614188,0.659164,1.018077,0.804175,0.895643,1.434333,3.477882,3.021944,817.085646,287.828619
1.000000,1024,8,0.080173,0.094727,0.140992,0.125625,0.133771,0.171412,0.263098,0.274518,0.276210,0.271836,0.389189,0.382614,0.597303,0.608599,73.167435,126.763224
1.000000,1024,8,0.092695,0.089546,0.140455,0.127377,0.123854,0.163657,0.275743,0.273874,0.265441,0.256412,0.412507,0.453704,0.656856,0.648916,133.810454,223.443480
1.000000,1024,16,0.126719,0.131467,0.189146,0.188214,0.200503,0.247237,0.395724,0.413006,0.383579,0.377927,0.610765,0.621842,0.932286,0.951181,91.707180,186.165003
0.900000,1024,16,0.101437,0.101998,0.156535,0.167834,0.160655,0.207421,0.329555,0.344433,0.330769,0.329844,0.508206,0.520888,0.797934,0.900224,86.665177,123.982969
0.900000,1024,16,0.104820,0.099674,0.159886,0.159035,0.151855,0.209225,0.325426,0.345023,0.342307,0.333163,0.517228,0.511529,0.821037,0.894018,148.731156,241.005454
0.750000,512,16,0.057435,0.063168,0.088137,0.100284,0.083281,0.111428,0.181344,0.171424,0.170539,0.188057,0.288374,0.268130,0.432783,0.438228,68.000432,108.633489
0.800000,800,8,0.065517,0.058257,0.087539,0.085723,0.100959,0.115998,0.184226,0.188226,0.177342,0.182021,0.283055,0.298099,0.443991,0.439945,88.075122,146.955022
0.800000,1024,8,0.072050,0.081263,0.117832,0.104246,0.122350,0.150723,0.233558,0.227105,0.223244,0.221850,0.371010,0.356382,0.556000,0.544767,98.794255,181.407521
0.850000,625,125,0.302859,0.303703,0.488859,0.476611,0.474576,0.686749,1.036275,1.031173,1.076732,1.043657,1.632227,1.638898,2.454507,2.458032,344.771620,476.218841
0.800000,400,200,0.319194,0.324174,0.492492,0.488286,0.500679,0.705047,1.353252,1.410947,1.153921,1.139711,1.744140,1.716295,2.570330,2.910028,349.441357,402.385551
0.850000,700,150,0.416227,0.418467,0.661710,0.645521,0.651803,0.969311,1.767093,1.766058,1.462382,1.493816,2.268384,2.325610,3.362809,3.652670,395.941893,568.019180
