alpha,Iter_GRASP,Iter_ILS,n10m2_A,n10m2_B,n15m3_A,n15m3_B,n15m4_A,n15m4_B,n29m4_A,n29m4_B,n29m6_A,n29m6_B,n40m5_A,n40m5_B,n52m5_A,n52m5_B,n450m16_A,n500m10_A
1,512,8,808.000000,965.000000,1403.000000,1268.000000,923.000000,1126.000000,2078.000000,1916.000000,1563.000000,1370.000000,685.000000,673.000000,10494.000000,7699.000000,9916.000000,7005.000000
1,512,8,775.000000,934.000000,1340.000000,1208.000000,927.000000,902.000000,1958.000000,1890.000000,1408.000000,1758.000000,542.000000,774.000000,9779.000000,6983.000000,7829.000000,7239.000000
1,512,16,972.000000,755.000000,1693.000000,1587.000000,733.000000,1206.000000,1838.000000,2370.000000,1300.000000,2319.000000,626.000000,737.000000,8012.000000,9268.000000,9623.000000,7627.000000
1,512,16,1008.000000,859.000000,1566.000000,1535.000000,1066.000000,926.000000,1808.000000,1802.000000,2020.000000,1751.000000,520.000000,724.000000,7426.000000,9393.000000,8195.000000,7230.000000
1,256,32,891.000000,750.000000,1393.000000,1265.000000,866.000000,998.000000,1523.000000,2289.000000,2815.000000,1786.000000,569.000000,843.000000,7740.000000,8122.000000,7148.000000,7008.000000
1,300,30,1012.000000,939.000000,1367.000000,1087.000000,897.000000,1103.000000,1706.000000,2742.000000,1713.000000,1861.000000,583.000000,701.000000,9534.000000,8533.000000,9135.000000,7799.000000
1,1024,16,808.000000,1000.000000,1231.000000,1204.000000,778.000000,1117.000000,1925.000000,1718.000000,1542.000000,1451.000000,490.000000,662.000000,9418.000000,8918.000000,7526.000000,7867.000000
1,1024,8,1056.000000,755.000000,1224.000000,1113.000000,1009.000000,998.000000,1764.000000,2033.000000,1849.000000,1185.000000,537.000000,683.000000,9587.000000,8233.000000,9146.000000,6827.000000
1,1024,16,921.000000,735.000000,1259.000000,1271.000000,1270.000000,927.000000,1608.000000,1716.000000,1872.000000,2233.000000,536.000000,797.000000,9578.000000,9523.000000,7360.000000,6686.000000
1,256,8,891.000000,778.000000,1242.000000,1552.000000,927.000000,1031.000000,1679.000000,2389.000000,1747.000000,1545.000000,852.000000,723.000000,10369.000000,8932.000000,6837.000000,7946.000000
1,512,4,912.000000,840.000000,1416.000000,1101.000000,1037.000000,1018.000000,1438.000000,2380.000000,2032.000000,1389.000000,550.000000,701.000000,7099.000000,7651.000000,10487.000000,6769.000000
