exec_max,Iter_GRASP,Iter_ILS,n10m2_A,n10m2_B,n15m3_A,n15m3_B,n15m4_A,n15m4_B,n29m4_A,n29m4_B,n29m6_A,n29m6_B,n40m5_A,n40m5_B,n52m5_A,n52m5_B,n450m16_A,n500m10_A
10,256,4,5944.100000,4875.000000,6608.300000,6689.500000,8168.300000,12856.100000,31635.100000,19895.300000,22558.300000,21229.700000,35097.700000,70333.700000,57351.500000,128142.000000,4670340.400000,6940745.000000
10,256,4,3847.400000,7271.600000,9868.400000,9663.100000,13901.200000,7743.500000,25893.600000,41680.100000,29373.100000,40826.400000,53583.300000,66596.900000,137287.300000,121558.500000,5784060.100000,6037292.300000
10,256,4,3970.500000,3983.400000,11982.500000,6899.000000,7681.400000,9359.400000,20396.100000,56019.000000,44785.900000,54629.200000,40915.700000,61806.700000,73157.100000,85513.100000,5549330.600000,7707228.100000
1,350,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1633000.000000,0.000000,94000.000000,0.000000,0.000000,20726000.000000,48920000.000000
1,350,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4038000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,497809000.000000,122691000.000000
1,512,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1878000.000000,0.000000,149034000.000000,117203000.000000
1,512,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7142000.000000,5510000.000000,61644000.000000,65427000.000000
1,512,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,534000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26399000.000000,25554000.000000
1,512,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1342000.000000,0.000000,0.000000,0.000000,1494000.000000,1022000.000000,0.000000,1011000.000000,37300000.000000,105649000.000000
1,512,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1261000.000000,1008000.000000,0.000000,0.000000,0.000000,0.000000,1500000.000000,0.000000,54958000.000000,20252000.000000
1,512,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1287000.000000,0.000000,1507000.000000,1009000.000000,87849000.000000,139835000.000000
